n,gflops
100,4.332004851845435
200,15.626526027932417
300,34.98660142745334
400,85.24893688581638
500,142.07758345353096
600,156.7853771504911
700,180.72130456545221
800,164.69673926190129
900,145.4931113801658
1000,103.81704115203694
1100,137.55358621628324
1200,159.01071776407372
